"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1306",76.384285,77.57,76.017143,77.427139,129114300,67.828445
"1307",77.744286,78.248573,77.587143,77.881432,104729800,68.22641
"1308",78.425713,78.85714,78.14286,78.85714,101820600,69.081154
"1309",79.648575,81.168571,79.39286,81.157143,172713800,71.096008
"1310",82.578575,84.959999,82.199997,84.225716,354711000,73.784172
"1311",85.658569,85.715714,82.650002,83.651428,289929500,73.281075
"1312",83.531425,84.171425,82.571426,83.652855,206371900,73.282333
"1313",85.48143,85.96714,84.150002,85.871429,225309000,75.225853
"1314",85.644287,86.699997,84.497147,86.565712,204165500,75.834084
"1315",86.105713,87.092857,85.915718,86.071426,161010500,75.40107
"1316",85.397141,86.35714,85.075714,85.620003,155967700,75.005608
"1317",85.784286,85.971428,84.914284,85.150002,107622200,74.59388
"1318",85.684288,86.735718,85.03714,86.711426,148935500,75.961723
"1319",86.597145,88.040001,86.580002,87.78286,151782400,76.900322
"1320",88.339996,88.778572,87.187141,88.23143,163865100,77.293297
"1321",87.540001,88.080002,86.747147,87.122856,152059600,76.322151
"1322",86.96714,87.222855,85.419998,85.650002,182759500,75.031876
"1323",85.975716,88.395714,85.76857,88.375717,149587900,77.419693
"1324",89.614288,90.315712,88.93,89.902855,208639900,78.757515
"1325",89.192856,89.408569,88.14286,89.187141,143245200,78.130516
"1326",89.568573,90.665718,89.057144,90.525711,160324500,79.303146
"1327",89.447144,91.405716,89.328575,90.889999,149384200,79.622269
"1328",91.418571,92,89.428574,89.777145,222431300,78.647392
"1329",90.885712,90.98143,89.048569,89.457146,174153700,78.36705
"1330",89.285713,90.190002,88.64286,88.96714,153584200,77.937798
"1331",89.158569,89.242859,86.215714,86.461426,214911200,75.742722
"1332",87.151428,87.182854,82.60714,82.875717,262696700,72.601524
"1333",82.705711,87.14286,81.701431,87.099998,256382000,76.302109
"1334",87.674286,88.60714,86.101425,86.905716,238632800,76.131927
"1335",85.745712,86.389999,83.502853,83.919998,208679800,73.516357
"1336",84.482857,84.945717,81.488571,81.854286,257746300,71.706749
"1337",81.515717,82.381432,79.517143,81.671425,241632300,71.546547
"1338",80.372856,81.098572,79.285713,80.040001,269037300,70.117378
"1339",87.94857,88.285713,86.571426,87.14286,226444400,76.339684
"1340",87.752853,87.812859,86.01857,86.814285,134017100,76.051834
"1341",86.438568,86.597145,85.785713,86.14286,101680600,75.463638
"1342",85.400002,85.485718,83.285713,83.425713,126536200,73.083359
"1343",83.557144,85.251427,83.03286,83.16143,152749800,72.85183
"1344",82.891426,83.914284,82.694283,83.711426,106847300,73.333649
"1345",84.35714,84.485718,82.900002,83.117142,97637400,72.813034
"1346",82.440002,82.622856,80.738571,80.75,132498100,70.739319
"1347",80.214287,81.824287,80.175713,81.354286,115029600,71.268723
"1348",81.368568,81.64286,79.818573,81.168571,124313000,71.106033
"1349",80.528572,81.997147,80.121429,81.311432,120176000,71.231186
"1350",82.082855,82.26857,81.205711,81.502853,83300000,71.39888
"1351",80.714287,82.067146,80.621429,80.958572,99886500,70.922066
"1352",80.367142,81.072861,79.657143,79.745712,88156600,69.85955
"1353",80.207146,80.459999,78.821426,79.024284,119084000,69.22757
"1354",79.150002,79.555717,77.291428,78.011429,140224000,68.340279
"1355",77.901428,78.214287,75.73143,75.73143,179305000,66.342926
"1356",76.279999,77.629997,74.597145,75.76857,183073100,66.375458
"1357",76.35714,80.220001,76.292854,80.182854,157776500,70.242508
"1358",81.364288,81.982857,78.940002,79.567146,173717600,69.703125
"1359",79.64286,81.828575,79.03286,81.508568,146224400,71.403862
"1360",82.267143,82.35714,80.175713,80.760002,124057500,70.748108
"1361",80.655716,80.835716,79.781425,80.327141,82126800,70.368912
"1362",81.557144,82,80.758568,81.752853,95127200,71.617897
"1363",81.314285,82.855713,80.937141,82.738571,132357400,72.481392
"1364",82.96286,83.071426,81.637146,82.53286,122918600,72.301178
"1365",81.308571,81.807144,80.074287,80.141426,130246900,70.206215
"1366",80.214287,81.071426,78.35714,80.612854,139248900,70.619179
"1367",80.181427,80.924286,79.761429,80.404289,97053600,70.436493
"1368",81.110001,81.978569,80.785713,81.637146,100363900,71.516495
"1369",82.470001,82.474289,81.5,81.674286,94941700,71.549049
"1370",81.657143,82.940002,81.285713,82.902855,86879100,72.625298
"1371",83.959999,84.071426,81.51857,81.595711,147816200,71.480225
"1372",82.065712,82.374283,80.957146,82.308571,108845100,72.104706
"1373",82.074287,82.639999,81.482857,81.737144,73395000,71.604118
"1374",81.605713,81.928574,81.03714,81.647141,86393300,71.525276
"1375",81.571426,82.08857,81.364288,82.01857,83813800,71.850639
"1376",81.565712,83.984283,81.48143,83.682854,110103000,73.308609
"1377",83.342857,84.285713,83.300003,83.915718,90351100,73.512619
"1378",84.029999,84.178574,82.971428,83.677139,89735800,73.303612
"1379",83.634285,84.031425,82.491432,82.524284,81587800,72.293678
"1380",82.720001,83.169998,82.202858,83.157143,71117900,72.848076
"1381",82.471428,82.828575,81.48143,81.538574,76095600,71.430168
"1382",81.618568,82.07,81.047142,81.718575,69134100,71.587852
"1383",82.14286,82.391426,81.702858,82.071426,50749300,71.896965
"1384",81.667145,82,80.80143,81.292854,70709100,71.214882
"1385",82.571426,83.428574,82.035713,83.428574,105375200,73.085846
"1386",83.53286,84.781425,83.371429,84.645714,100023000,74.152107
"1387",84.982857,85.714287,84.85714,85.629997,60428200,75.014359
"1388",85.794289,87.762856,85.664284,87.134285,121095800,76.332169
"1389",86.727142,86.919998,85.940002,86.554283,104732600,75.824074
"1390",86.471428,87.699997,86.30143,87.69857,94851400,76.8265
"1391",88.281425,88.552856,86.472855,86.887146,127989400,76.115669
"1392",86.58857,86.808571,85.317146,86.347145,117330500,75.642616
"1393",85.748573,86.209999,84.668571,85.557144,107010400,74.950546
"1394",86.135712,86.741432,85.714287,86.424286,77856800,75.710182
"1395",86.445717,87.374283,86.431427,86.701431,75315100,75.952972
"1396",87.255714,87.35714,86.164284,86.705711,73406200,75.956703
